cell_id,sector_name,latitude,longitude,prospectivity_score,confidence_score,ore_grade_pct,exploration_priority_rank,ndvi,lst_celsius,soil_moisture_pct,elevation_m,slope_deg,iron_oxide_index,clay_alteration_index,fault_distance_km
Zone-M312,Balaghat Belt (MP),21.4279,80.02516,94.5,88.8,43.4,PRIORITY-1 (Tier A),0.128,39.7,15.5,543.7,23.4,2.719,1.552,10.1
Zone-M284,Balaghat Belt (MP),21.81042,79.85316,94.5,84.6,43.2,PRIORITY-1 (Tier A),0.144,33.6,26.8,326.9,9.6,3.487,2.594,6.1
Zone-M128,Balaghat Belt (MP),21.80268,80.22693,94.2,88.3,46.0,PRIORITY-1 (Tier A),0.427,40.0,32.2,565.4,19.1,2.017,2.554,7.5
Zone-M504,Balaghat Belt (MP),21.60699,79.71743,94.2,96.0,44.1,PRIORITY-1 (Tier A),0.327,30.6,19.2,593.9,15.6,3.098,2.372,10.1
Zone-M172,Balaghat Belt (MP),22.00593,80.61231,94.2,87.1,44.0,PRIORITY-1 (Tier A),0.282,31.1,54.5,654.3,4.8,3.282,2.588,3.2
Zone-M313,Bhandara-Nagpur Corridor (MH),21.20183,80.20425,94.0,94.8,44.7,PRIORITY-1 (Tier A),0.179,39.2,37.1,402.4,6.6,3.617,1.436,4.9
Zone-M130,Keonjhar-Bonai Belt (Odisha),21.29729,84.81432,93.9,93.9,43.2,PRIORITY-1 (Tier A),0.381,29.3,34.8,246.5,15.0,2.727,2.532,5.4
Zone-M242,Keonjhar-Bonai Belt (Odisha),21.73762,86.0089,93.7,93.6,45.5,PRIORITY-1 (Tier A),0.172,36.5,20.4,565.6,17.1,3.809,1.303,1.6
Zone-M208,Balaghat Belt (MP),22.2945,80.40556,93.6,95.9,42.9,PRIORITY-1 (Tier A),0.126,30.7,15.3,517.8,22.0,2.311,2.591,1.6
Zone-M256,Balaghat Belt (MP),22.11495,79.64161,93.5,87.8,40.8,PRIORITY-1 (Tier A),0.19,28.5,27.2,520.5,22.8,3.63,2.349,11.2
Zone-M132,Balaghat Belt (MP),21.55854,80.09462,93.4,89.3,41.6,PRIORITY-1 (Tier A),0.419,29.6,34.7,225.2,13.4,1.918,1.378,2.4
Zone-M416,Balaghat Belt (MP),21.7459,80.03733,93.2,96.4,45.6,PRIORITY-1 (Tier A),0.199,40.2,48.2,323.3,12.0,2.66,2.667,3.2
Zone-M184,Balaghat Belt (MP),21.70228,80.26766,93.2,96.0,41.4,PRIORITY-1 (Tier A),0.233,36.9,52.3,267.2,22.7,3.245,1.302,4.8
Zone-M520,Balaghat Belt (MP),21.10393,79.04707,92.7,94.0,43.9,PRIORITY-1 (Tier A),0.269,38.1,38.4,446.5,7.8,2.774,1.569,12.9
Zone-M228,Balaghat Belt (MP),22.56506,79.93771,92.7,92.0,43.6,PRIORITY-1 (Tier A),0.323,28.9,35.7,289.1,18.7,2.876,2.22,1.4
Zone-M492,Balaghat Belt (MP),22.04848,79.71852,92.5,86.0,43.6,PRIORITY-1 (Tier A),0.368,36.0,26.0,438.2,10.7,3.017,2.534,8.3
Zone-M178,Keonjhar-Bonai Belt (Odisha),21.8249,85.49698,92.4,86.9,39.3,PRIORITY-1 (Tier A),0.178,31.1,22.5,578.6,11.0,1.921,2.654,12.5
Zone-M314,Keonjhar-Bonai Belt (Odisha),22.06207,85.14319,92.3,87.1,42.8,PRIORITY-1 (Tier A),0.326,36.0,48.3,636.8,4.2,3.215,1.278,8.0
Zone-M248,Balaghat Belt (MP),21.64104,79.79867,92.2,86.6,40.8,PRIORITY-1 (Tier A),0.41,40.3,49.8,329.8,13.0,3.868,2.358,1.2
Zone-M265,Bhandara-Nagpur Corridor (MH),21.48703,79.40744,92.1,87.7,38.7,PRIORITY-1 (Tier A),0.427,33.6,18.5,503.9,6.3,2.525,1.961,12.3
Zone-M308,Balaghat Belt (MP),21.20597,79.90897,91.9,94.2,45.6,PRIORITY-1 (Tier A),0.18,33.2,51.1,591.1,23.7,3.384,1.79,8.6
Zone-M214,Keonjhar-Bonai Belt (Odisha),22.50497,85.07856,91.7,87.4,40.6,PRIORITY-1 (Tier A),0.146,29.2,50.8,308.3,10.5,2.276,1.732,1.7
Zone-M389,Bhandara-Nagpur Corridor (MH),21.43697,79.87799,91.7,84.2,43.1,PRIORITY-1 (Tier A),0.39,28.6,50.6,676.3,9.9,2.242,2.348,4.1
Zone-M408,Balaghat Belt (MP),21.96259,79.1671,91.5,92.4,43.3,PRIORITY-1 (Tier A),0.279,39.3,53.0,230.2,23.7,1.981,2.422,4.5
Zone-M337,Bhandara-Nagpur Corridor (MH),21.22593,80.28546,91.5,93.4,42.8,PRIORITY-1 (Tier A),0.385,35.3,20.6,528.7,16.4,3.359,1.455,3.4
Zone-M546,Keonjhar-Bonai Belt (Odisha),22.49868,85.4221,91.0,86.1,40.6,PRIORITY-1 (Tier A),0.383,38.1,18.4,433.4,7.5,2.509,1.227,6.1
Zone-M384,Balaghat Belt (MP),21.77127,79.82134,91.0,85.0,44.0,PRIORITY-1 (Tier A),0.19,38.5,17.1,446.6,12.8,2.502,1.792,7.8
Zone-M232,Balaghat Belt (MP),21.73256,80.06927,90.7,87.6,41.6,PRIORITY-1 (Tier A),0.389,40.1,48.9,642.7,9.0,3.386,1.891,11.9
Zone-M244,Balaghat Belt (MP),20.96152,80.53362,90.4,84.3,43.6,PRIORITY-1 (Tier A),0.339,41.5,37.4,650.9,5.0,2.679,1.59,10.4
Zone-M290,Keonjhar-Bonai Belt (Odisha),21.47206,85.17357,90.4,84.6,40.8,PRIORITY-1 (Tier A),0.239,41.4,35.0,419.1,13.2,2.239,1.753,5.7
Zone-M218,Keonjhar-Bonai Belt (Odisha),21.81009,85.23901,90.3,84.5,41.2,PRIORITY-1 (Tier A),0.22,31.7,29.4,260.3,22.7,2.963,1.658,6.0
Zone-M348,Balaghat Belt (MP),22.35396,80.52159,90.3,96.0,42.1,PRIORITY-1 (Tier A),0.297,34.8,31.1,290.7,15.5,2.382,2.582,8.5
Zone-M110,Keonjhar-Bonai Belt (Odisha),20.88655,85.28939,90.2,84.6,38.3,PRIORITY-1 (Tier A),0.212,40.7,24.6,286.7,13.8,3.87,1.563,9.7
Zone-M262,Keonjhar-Bonai Belt (Odisha),21.45567,84.56775,90.1,95.2,40.3,PRIORITY-1 (Tier A),0.266,36.5,40.3,492.2,18.1,2.299,1.969,2.2
Zone-M281,Bhandara-Nagpur Corridor (MH),21.76626,79.54861,90.1,85.7,40.8,PRIORITY-1 (Tier A),0.219,33.0,47.2,348.2,8.2,3.811,1.213,14.0
Zone-M527,Sandur Basin (Karnataka),15.11792,76.13784,89.9,84.2,40.9,PRIORITY-1 (Tier A),0.437,28.6,20.7,226.4,15.3,3.758,2.199,11.7
Zone-M254,Keonjhar-Bonai Belt (Odisha),21.30031,85.09809,89.9,85.3,41.8,PRIORITY-1 (Tier A),0.199,30.0,28.9,427.2,19.0,3.167,2.131,5.5
Zone-M200,Balaghat Belt (MP),21.69743,81.0107,89.9,91.3,42.0,PRIORITY-1 (Tier A),0.407,30.9,19.5,344.1,5.1,2.915,2.605,1.3
Zone-M369,Bhandara-Nagpur Corridor (MH),21.05126,79.95037,89.7,95.6,40.3,PRIORITY-1 (Tier A),0.391,35.9,41.3,633.3,12.0,2.486,1.216,11.7
Zone-M344,Balaghat Belt (MP),21.92685,80.75255,89.5,86.9,45.1,PRIORITY-1 (Tier A),0.125,38.7,39.9,570.7,4.8,3.558,2.129,8.2
Zone-M234,Keonjhar-Bonai Belt (Odisha),22.30723,85.30851,89.5,91.4,39.4,PRIORITY-1 (Tier A),0.288,32.2,37.6,536.9,21.5,3.136,2.342,2.9
Zone-M296,Balaghat Belt (MP),21.77386,79.52272,89.5,84.7,39.5,PRIORITY-1 (Tier A),0.436,41.2,46.4,676.0,14.9,3.822,1.313,5.6
Zone-M450,Keonjhar-Bonai Belt (Odisha),21.58266,85.00862,89.4,95.1,39.4,PRIORITY-1 (Tier A),0.303,35.5,22.8,296.5,22.3,2.488,1.758,10.8
Zone-M346,Keonjhar-Bonai Belt (Odisha),21.91544,84.45999,89.3,91.4,40.8,PRIORITY-1 (Tier A),0.138,34.4,42.0,531.7,11.5,3.778,1.451,7.4
Zone-M548,Balaghat Belt (MP),22.15394,79.61997,89.3,84.8,42.9,PRIORITY-1 (Tier A),0.301,36.3,41.1,337.6,11.3,3.572,1.492,11.7
Zone-M422,Keonjhar-Bonai Belt (Odisha),20.76454,85.77784,89.1,86.5,42.3,PRIORITY-1 (Tier A),0.127,40.1,38.1,629.7,15.9,3.501,1.845,10.7
Zone-M372,Balaghat Belt (MP),22.18894,79.99155,88.9,88.4,39.8,PRIORITY-1 (Tier A),0.24,39.3,28.1,316.2,5.7,2.78,1.923,11.9
Zone-M298,Keonjhar-Bonai Belt (Odisha),21.64469,85.48654,88.8,92.8,42.4,PRIORITY-1 (Tier A),0.141,30.1,15.3,510.2,13.0,2.082,2.637,7.8
Zone-M282,Keonjhar-Bonai Belt (Odisha),22.17891,85.50523,88.7,93.3,41.3,PRIORITY-1 (Tier A),0.167,38.5,45.8,522.9,19.3,3.576,2.12,2.0
Zone-M460,Balaghat Belt (MP),21.93165,80.21468,88.7,93.5,41.9,PRIORITY-1 (Tier A),0.315,30.7,41.7,506.8,16.0,2.829,1.993,5.2
Zone-M526,Keonjhar-Bonai Belt (Odisha),22.38312,85.10635,88.7,95.3,42.3,PRIORITY-1 (Tier A),0.149,41.1,48.0,584.0,8.0,3.491,2.475,4.6
Zone-M498,Keonjhar-Bonai Belt (Odisha),22.23603,85.67712,88.7,92.1,40.2,PRIORITY-1 (Tier A),0.162,37.1,54.3,639.4,12.8,1.884,1.743,11.7
Zone-M180,Balaghat Belt (MP),21.59552,80.02492,88.6,92.2,41.5,PRIORITY-1 (Tier A),0.302,29.2,31.3,391.4,9.2,3.319,1.944,1.9
Zone-M406,Keonjhar-Bonai Belt (Odisha),21.3827,85.33126,88.5,89.0,41.9,PRIORITY-1 (Tier A),0.218,30.0,21.1,419.1,15.9,1.969,2.609,10.8
Zone-M317,Bhandara-Nagpur Corridor (MH),20.71494,79.68254,88.5,92.8,43.3,PRIORITY-1 (Tier A),0.26,32.9,30.9,341.6,8.1,2.814,1.603,4.6
Zone-M420,Balaghat Belt (MP),21.9258,80.7604,88.5,91.1,44.2,PRIORITY-1 (Tier A),0.383,38.3,39.4,444.6,6.7,2.349,1.829,8.7
Zone-M501,Bhandara-Nagpur Corridor (MH),20.88315,79.61757,88.2,87.1,41.0,PRIORITY-1 (Tier A),0.259,39.7,50.1,331.9,15.0,2.204,1.353,12.8
Zone-M188,Balaghat Belt (MP),21.37196,80.75751,88.2,96.1,39.9,PRIORITY-1 (Tier A),0.181,40.2,46.1,574.6,20.9,3.398,2.139,2.5
Zone-M470,Keonjhar-Bonai Belt (Odisha),22.34003,85.21027,88.2,88.8,41.9,PRIORITY-1 (Tier A),0.394,29.9,52.4,565.7,22.8,3.221,1.745,13.2
Zone-M105,Bhandara-Nagpur Corridor (MH),21.32628,80.02285,88.1,84.9,40.5,PRIORITY-1 (Tier A),0.238,29.6,49.5,506.7,10.6,1.933,1.666,5.1
Zone-M494,Keonjhar-Bonai Belt (Odisha),21.85217,85.17037,88.1,85.4,40.7,PRIORITY-1 (Tier A),0.332,39.7,38.1,517.3,13.2,2.91,1.252,9.2
Zone-M506,Keonjhar-Bonai Belt (Odisha),21.93931,85.06883,88.1,85.8,42.0,PRIORITY-1 (Tier A),0.333,31.3,21.3,534.4,15.9,3.385,1.664,6.7
Zone-M316,Balaghat Belt (MP),21.75544,79.96069,88.0,92.4,41.0,PRIORITY-1 (Tier A),0.329,30.8,31.7,565.4,6.0,2.383,1.614,6.5
Zone-M533,Bhandara-Nagpur Corridor (MH),20.092,79.30647,87.9,94.4,41.9,PRIORITY-1 (Tier A),0.253,32.7,34.7,483.5,8.8,3.467,1.93,5.2
Zone-M170,Keonjhar-Bonai Belt (Odisha),22.90204,85.26158,87.8,85.3,43.2,PRIORITY-1 (Tier A),0.145,38.2,34.8,536.7,12.7,2.317,2.429,11.4
Zone-M410,Keonjhar-Bonai Belt (Odisha),20.95079,85.72558,87.7,94.3,39.1,PRIORITY-1 (Tier A),0.328,39.0,38.9,410.5,23.2,2.936,2.108,3.7
Zone-M140,Balaghat Belt (MP),21.47228,80.45442,87.5,88.9,45.0,PRIORITY-1 (Tier A),0.264,40.7,28.9,456.4,19.7,2.633,2.133,12.2
Zone-M280,Balaghat Belt (MP),21.74093,80.11949,87.2,94.6,39.4,PRIORITY-1 (Tier A),0.415,28.9,50.3,426.2,14.2,3.116,2.59,1.1
Zone-M516,Balaghat Belt (MP),21.80716,80.24324,87.1,94.0,39.0,PRIORITY-1 (Tier A),0.316,40.4,31.4,498.0,16.6,2.677,1.416,2.0
Zone-M148,Balaghat Belt (MP),21.82698,79.84762,86.9,85.4,41.5,PRIORITY-1 (Tier A),0.251,41.6,49.6,595.9,9.2,2.159,2.203,13.1
Zone-M496,Balaghat Belt (MP),21.91335,79.8694,86.7,91.8,41.0,PRIORITY-1 (Tier A),0.145,29.6,17.0,338.4,6.7,2.346,1.778,13.2
Zone-M453,Bhandara-Nagpur Corridor (MH),21.19109,79.88999,86.6,94.6,40.0,PRIORITY-1 (Tier A),0.25,28.7,31.1,529.9,13.0,3.373,1.735,9.2
Zone-M246,Keonjhar-Bonai Belt (Odisha),21.29288,85.32467,86.6,84.8,39.9,PRIORITY-1 (Tier A),0.354,35.6,18.3,430.8,13.7,2.148,2.619,12.0
Zone-M341,Bhandara-Nagpur Corridor (MH),21.47424,79.87561,86.4,86.3,39.7,PRIORITY-1 (Tier A),0.149,37.8,29.7,418.9,4.6,2.345,1.251,12.4
Zone-M271,Sandur Basin (Karnataka),14.5293,76.95994,86.4,92.6,39.6,PRIORITY-1 (Tier A),0.244,30.3,32.2,285.6,21.8,2.526,1.432,1.1
Zone-M536,Balaghat Belt (MP),22.04081,79.85842,86.4,88.4,41.6,PRIORITY-1 (Tier A),0.358,32.5,51.2,278.3,7.6,2.835,1.323,3.4
Zone-M302,Keonjhar-Bonai Belt (Odisha),21.18732,85.54181,86.3,93.1,42.0,PRIORITY-1 (Tier A),0.151,34.0,16.2,441.2,17.2,2.049,1.633,6.1
Zone-M390,Keonjhar-Bonai Belt (Odisha),22.15518,85.48049,86.3,91.4,43.3,PRIORITY-1 (Tier A),0.319,37.6,38.0,417.4,9.5,3.414,1.539,9.9
Zone-M354,Keonjhar-Bonai Belt (Odisha),21.71373,84.96678,86.3,84.7,42.1,PRIORITY-1 (Tier A),0.258,34.4,44.0,484.2,17.3,3.432,2.493,4.9
Zone-M289,Bhandara-Nagpur Corridor (MH),21.11902,80.48231,86.2,92.8,43.6,PRIORITY-1 (Tier A),0.121,30.3,43.5,526.5,23.3,3.398,2.626,10.1
Zone-M152,Balaghat Belt (MP),22.21872,80.28177,86.1,86.5,41.8,PRIORITY-1 (Tier A),0.174,30.3,47.6,526.0,14.5,2.554,2.516,6.0
Zone-M204,Balaghat Belt (MP),22.19693,80.65481,86.0,88.9,43.1,PRIORITY-1 (Tier A),0.335,29.5,41.3,679.7,5.0,3.852,1.81,12.3
Zone-M486,Keonjhar-Bonai Belt (Odisha),22.19893,85.18528,85.8,96.1,41.4,PRIORITY-1 (Tier A),0.266,32.5,36.0,536.4,9.5,3.347,1.277,1.5
Zone-M146,Keonjhar-Bonai Belt (Odisha),22.50921,85.65266,85.6,85.1,38.0,PRIORITY-1 (Tier A),0.297,36.2,44.8,418.6,6.6,2.396,1.745,9.3
Zone-M368,Balaghat Belt (MP),22.23808,80.07646,85.6,90.6,41.8,PRIORITY-1 (Tier A),0.215,34.9,27.0,494.2,12.7,2.145,1.375,8.0
Zone-M350,Keonjhar-Bonai Belt (Odisha),22.15291,85.04737,85.5,96.2,39.1,PRIORITY-1 (Tier A),0.273,39.9,17.5,374.2,5.3,3.848,2.425,12.1
Zone-M306,Keonjhar-Bonai Belt (Odisha),20.5781,85.37958,85.5,88.2,40.0,PRIORITY-1 (Tier A),0.349,38.8,41.2,289.7,21.5,2.932,1.624,6.4
Zone-M385,Bhandara-Nagpur Corridor (MH),21.22069,79.15185,85.3,85.9,39.2,PRIORITY-1 (Tier A),0.169,31.8,29.4,407.9,17.6,1.919,1.252,6.0
Zone-M116,Balaghat Belt (MP),21.49867,79.85368,85.2,95.2,39.9,PRIORITY-1 (Tier A),0.328,39.1,35.1,485.4,13.9,2.21,2.284,4.5
Zone-M160,Balaghat Belt (MP),20.86609,80.15828,85.1,91.3,39.2,PRIORITY-1 (Tier A),0.329,28.2,41.5,301.9,23.2,2.112,1.822,1.9
Zone-M274,Keonjhar-Bonai Belt (Odisha),22.00241,85.18181,85.1,91.5,41.1,PRIORITY-1 (Tier A),0.393,41.8,26.5,662.1,11.8,2.61,1.711,7.9
Zone-M472,Balaghat Belt (MP),22.28288,80.53448,84.9,94.0,40.0,PRIORITY-1 (Tier A),0.263,40.2,22.2,655.9,8.4,2.485,2.334,6.0
Zone-M466,Keonjhar-Bonai Belt (Odisha),21.73996,85.02445,84.8,90.8,38.9,PRIORITY-1 (Tier A),0.202,32.8,49.1,477.2,14.3,2.009,1.224,13.5
Zone-M432,Balaghat Belt (MP),21.78736,80.20915,84.6,89.9,40.6,PRIORITY-1 (Tier A),0.4,33.4,21.7,604.8,15.0,2.197,2.281,7.5
Zone-M261,Bhandara-Nagpur Corridor (MH),20.90519,79.66515,84.6,85.4,38.1,PRIORITY-1 (Tier A),0.151,40.7,41.8,601.5,21.6,3.001,1.976,6.5
Zone-M364,Balaghat Belt (MP),21.84211,80.2809,84.3,91.6,39.7,PRIORITY-1 (Tier A),0.344,32.4,48.9,655.7,21.7,3.352,1.616,4.5
Zone-M510,Keonjhar-Bonai Belt (Odisha),21.97537,84.94861,84.3,85.3,41.3,PRIORITY-1 (Tier A),0.378,40.7,30.3,510.1,12.6,2.719,1.666,10.9
Zone-M509,Bhandara-Nagpur Corridor (MH),20.77406,79.87749,84.3,90.7,42.6,PRIORITY-1 (Tier A),0.343,37.6,40.1,342.4,4.8,2.757,2.536,8.3
Zone-M278,Keonjhar-Bonai Belt (Odisha),21.87111,85.16272,84.2,95.8,40.8,PRIORITY-1 (Tier A),0.169,34.5,54.2,442.4,21.3,3.036,1.763,4.6
Zone-M125,Bhandara-Nagpur Corridor (MH),21.15872,80.63616,84.1,86.0,38.3,PRIORITY-1 (Tier A),0.143,37.0,16.1,489.5,22.8,3.008,1.782,9.3
Zone-M275,Sandur Basin (Karnataka),15.13499,76.1369,84.1,94.4,39.6,PRIORITY-1 (Tier A),0.265,32.2,25.4,309.5,5.2,2.519,1.605,13.6
Zone-M294,Keonjhar-Bonai Belt (Odisha),22.07192,85.58727,84.0,85.6,40.0,PRIORITY-1 (Tier A),0.126,38.8,47.3,275.3,9.3,1.837,1.64,11.0
Zone-M394,Keonjhar-Bonai Belt (Odisha),22.0374,85.72325,83.9,87.7,39.7,PRIORITY-1 (Tier A),0.12,31.8,23.7,524.4,16.7,3.046,1.224,10.4
Zone-M166,Keonjhar-Bonai Belt (Odisha),21.50479,85.45965,83.9,95.2,37.8,PRIORITY-1 (Tier A),0.384,34.0,15.9,343.6,14.8,3.13,1.587,2.6
Zone-M359,Sandur Basin (Karnataka),15.16886,76.68133,83.8,85.9,38.6,PRIORITY-1 (Tier A),0.271,32.9,18.8,443.6,22.4,1.884,1.637,3.5
Zone-M198,Keonjhar-Bonai Belt (Odisha),22.09726,84.16058,83.7,86.0,43.2,PRIORITY-1 (Tier A),0.249,41.6,25.3,522.1,10.5,3.424,1.396,13.6
Zone-M411,Sandur Basin (Karnataka),15.41088,77.22736,83.7,90.5,38.8,PRIORITY-1 (Tier A),0.195,37.3,18.2,423.2,7.3,2.187,1.503,5.9
Zone-M258,Keonjhar-Bonai Belt (Odisha),21.5091,85.26379,83.7,87.5,39.5,PRIORITY-1 (Tier A),0.403,32.1,51.4,566.8,20.1,1.838,2.644,10.4
Zone-M237,Bhandara-Nagpur Corridor (MH),20.8785,78.77047,83.6,91.4,39.2,PRIORITY-1 (Tier A),0.249,33.8,42.8,221.5,16.4,2.547,2.391,2.0
Zone-M438,Keonjhar-Bonai Belt (Odisha),21.42839,85.50851,83.5,89.4,39.4,PRIORITY-1 (Tier A),0.159,35.2,29.0,392.4,16.4,3.309,1.366,1.3
Zone-M388,Balaghat Belt (MP),22.12253,80.91185,83.5,89.8,38.4,PRIORITY-1 (Tier A),0.324,33.8,32.1,371.9,15.3,3.586,1.502,13.1
Zone-M205,Bhandara-Nagpur Corridor (MH),21.24899,80.25278,83.4,89.1,39.0,PRIORITY-1 (Tier A),0.228,37.3,47.3,570.7,20.0,2.715,2.427,2.4
Zone-M465,Bhandara-Nagpur Corridor (MH),21.20957,79.51282,83.4,92.8,37.8,PRIORITY-1 (Tier A),0.214,36.8,33.2,441.7,19.2,2.392,1.677,13.0
Zone-M304,Balaghat Belt (MP),21.815,79.79842,83.4,95.9,38.4,PRIORITY-1 (Tier A),0.312,34.1,38.2,457.7,19.2,2.393,1.73,12.6
